ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2025-09-24T19:30:00.001385399Z,2025-09-24T19:30:00.000860311Z,160,1,432669,A,A,64.830000000,1,26,8058566314544,128,17528,94225061,CLX5
2025-09-24T19:30:00.001551547Z,2025-09-24T19:30:00.001394777Z,160,1,432669,C,A,64.830000000,1,26,8058566314535,128,17697,94225065,CLX5
2025-09-24T19:30:00.061626992Z,2025-09-24T19:30:00.061472325Z,160,1,432669,C,B,64.790000000,1,26,8058566226379,128,21053,94225124,CLX5
2025-09-24T19:30:00.061653502Z,2025-09-24T19:30:00.061473053Z,160,1,432669,C,B,64.800000000,1,26,8058566253567,128,17668,94225125,CLX5
2025-09-24T19:30:00.093778945Z,2025-09-24T19:30:00.093437495Z,160,1,432669,C,A,64.830000000,1,26,8058566314534,128,18699,94225162,CLX5
2025-09-24T19:30:00.094056547Z,2025-09-24T19:30:00.093784155Z,160,1,432669,A,B,64.820000000,1,26,8058566314579,128,15148,94225181,CLX5
2025-09-24T19:30:00.126096118Z,2025-09-24T19:30:00.125953257Z,160,1,432669,C,A,64.860000000,1,26,8058566175788,128,18262,94225208,CLX5
2025-09-24T19:30:00.398856714Z,2025-09-24T19:30:00.398580505Z,160,1,432669,C,A,64.830000000,2,26,8058566314531,128,16291,94225265,CLX5
2025-09-24T19:30:00.398891680Z,2025-09-24T19:30:00.398599399Z,160,1,432669,C,A,64.830000000,2,26,8058566314530,128,14788,94225266,CLX5
2025-09-24T19:30:00.400126559Z,2025-09-24T19:30:00.399976013Z,160,1,432669,C,A,64.830000000,1,26,8058566314503,128,16415,94225293,CLX5
2025-09-24T19:30:00.400562968Z,2025-09-24T19:30:00.400141223Z,160,1,432669,T,B,64.830000000,6,26,8058566314620,0,18442,94225298,CLX5
2025-09-24T19:30:00.400562968Z,2025-09-24T19:30:00.400141223Z,160,1,432669,F,A,64.830000000,1,26,8058566308744,0,18442,94225298,CLX5
2025-09-24T19:30:00.400562968Z,2025-09-24T19:30:00.400141223Z,160,1,432669,F,A,64.830000000,2,26,8058566308768,0,18442,94225298,CLX5
2025-09-24T19:30:00.400562968Z,2025-09-24T19:30:00.400141223Z,160,1,432669,F,A,64.830000000,1,26,8058566311024,0,18442,94225298,CLX5
2025-09-24T19:30:00.400562968Z,2025-09-24T19:30:00.400141223Z,160,1,432669,F,A,64.830000000,1,26,8058566313468,0,18442,94225298,CLX5
2025-09-24T19:30:00.400562968Z,2025-09-24T19:30:00.400141223Z,160,1,432669,F,A,64.830000000,1,26,8058566314544,0,18442,94225298,CLX5
2025-09-24T19:30:00.400573005Z,2025-09-24T19:30:00.400141223Z,160,1,432669,C,A,64.830000000,1,26,8058566308744,0,15030,94225299,CLX5
2025-09-24T19:30:00.400573005Z,2025-09-24T19:30:00.400141223Z,160,1,432669,C,A,64.830000000,2,26,8058566308768,0,15030,94225299,CLX5
2025-09-24T19:30:00.400573005Z,2025-09-24T19:30:00.400141223Z,160,1,432669,C,A,64.830000000,1,26,8058566311024,0,15030,94225299,CLX5
2025-09-24T19:30:00.400573005Z,2025-09-24T19:30:00.400141223Z,160,1,432669,C,A,64.830000000,1,26,8058566313468,0,15030,94225299,CLX5
2025-09-24T19:30:00.400573005Z,2025-09-24T19:30:00.400141223Z,160,1,432669,C,A,64.830000000,1,26,8058566314544,128,15030,94225299,CLX5
2025-09-24T19:30:00.400605658Z,2025-09-24T19:30:00.400153319Z,160,1,432669,A,B,64.830000000,3,26,8058566314621,128,16510,94225302,CLX5
2025-09-24T19:30:00.400701546Z,2025-09-24T19:30:00.400477971Z,160,1,432669,A,B,64.820000000,2,26,8058566314622,128,15238,94225306,CLX5
2025-09-24T19:30:00.400808615Z,2025-09-24T19:30:00.400484563Z,160,1,432669,A,B,64.820000000,1,26,8058566314624,128,15142,94225309,CLX5
2025-09-24T19:30:00.400880043Z,2025-09-24T19:30:00.400522039Z,160,1,432669,C,A,65.050000000,1,26,8058565884948,128,17488,94225313,CLX5
2025-09-24T19:30:00.400880043Z,2025-09-24T19:30:00.400522481Z,160,1,432669,C,A,65.030000000,1,26,8058565958174,128,17488,94225313,CLX5
2025-09-24T19:30:00.400880043Z,2025-09-24T19:30:00.400522885Z,160,1,432669,C,A,65.020000000,1,26,8058565971028,128,17488,94225313,CLX5
2025-09-24T19:30:00.400893582Z,2025-09-24T19:30:00.400523209Z,160,1,432669,C,A,65.010000000,1,26,8058565978397,128,15461,94225314,CLX5
2025-09-24T19:30:00.400893582Z,2025-09-24T19:30:00.400523537Z,160,1,432669,C,A,65.000000000,1,26,8058565986118,128,15461,94225314,CLX5
2025-09-24T19:30:00.400893582Z,2025-09-24T19:30:00.400523863Z,160,1,432669,C,A,64.990000000,1,26,8058566056746,128,15461,94225314,CLX5
2025-09-24T19:30:00.400893582Z,2025-09-24T19:30:00.400524151Z,160,1,432669,C,A,64.980000000,1,26,8058566058624,128,15461,94225314,CLX5
